race_id,pos,driver,team,time,pts,driver_total_gps
2025_monaco_gp,14,L. Lawson,Red Bull,+39.882s,0,26
2025_monaco_gp,15,F. Alonso,Aston Martin,+42.331s,0,409
2025_monaco_gp,16,L. Stroll,Aston Martin,+44.019s,0,181
2025_monaco_gp,17,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_monaco_gp,18,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_monaco_gp,19,O. Bearman,Haas,DNF,0,18
2025_monaco_gp,20,J. Doohan,Alpine,DNF,0,0
2025_spanish_gp,1,O. Piastri,McLaren,1:32:48.554,25,62
2025_spanish_gp,2,L. Norris,McLaren,+2.947s,18,144
2025_spanish_gp,3,G. Russell,Mercedes,+8.155s,15,144
2025_spanish_gp,4,M. Verstappen,Red Bull,+10.472s,12,224
2025_spanish_gp,5,C. Leclerc,Ferrari,+12.034s,10,162
2025_spanish_gp,6,L. Hamilton,Ferrari,+18.619s,8,371
2025_spanish_gp,7,A.K. Antonelli,Mercedes,+25.008s,6,13
2025_spanish_gp,8,A. Albon,Williams,+30.573s,4,120
2025_spanish_gp,9,C. Sainz Jr.,Williams,+33.017s,2,221
2025_spanish_gp,10,Y. Tsunoda,Red Bull,+35.489s,1,103
2025_spanish_gp,11,I. Hadjar,Red Bull,+36.794s,0,15
2025_spanish_gp,12,E. Ocon,Haas,+42.519s,0,158
2025_spanish_gp,13,P. Gasly,Alpine,+44.131s,0,169
2025_spanish_gp,14,L. Lawson,Red Bull,+45.963s,0,26
2025_spanish_gp,15,F. Alonso,Aston Martin,+50.202s,0,409
2025_spanish_gp,16,L. Stroll,Aston Martin,+51.446s,0,181
2025_spanish_gp,17,N. Hülkenberg,Kick Sauber,+1 Lap,0,243
2025_spanish_gp,18,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_spanish_gp,19,O. Bearman,Haas,DNF,0,18
2025_spanish_gp,20,J. Doohan,Alpine,DNF,0,0
2025_canadian_gp,1,G. Russell,Mercedes,1:31:52.688,25,144
2025_canadian_gp,2,M. Verstappen,Red Bull,+0.228s,18,224
2025_canadian_gp,3,A.K. Antonelli,Mercedes,+1.014s,15,13
2025_canadian_gp,4,O. Piastri,McLaren,+2.109s,12,62
2025_canadian_gp,5,C. Leclerc,Ferrari,+3.442s,10,162
2025_canadian_gp,6,L. Hamilton,Ferrari,+10.713s,8,371
2025_canadian_gp,7,F. Alonso,Aston Martin,+10.972s,6,409
2025_canadian_gp,8,N. Hülkenberg,Kick Sauber,+15.364s,4,243
2025_canadian_gp,9,E. Ocon,Haas,+1 Lap,2,158
2025_canadian_gp,10,C. Sainz Jr.,Williams,+1 Lap,1,221
2025_canadian_gp,11,O. Bearman,Haas,+1 Lap,0,18
2025_canadian_gp,12,Y. Tsunoda,Red Bull,+1 Lap,0,103
2025_canadian_gp,13,F. Colapinto,Alpine,+1 Lap,0,0
2025_canadian_gp,14,G. Bortoleto,Kick Sauber,+1 Lap,0,16
2025_canadian_gp,15,P. Gasly,Alpine,+1 Lap,0,169
2025_canadian_gp,16,I. Hadjar,Red Bull,+1 Lap,0,15
2025_canadian_gp,17,L. Stroll,Aston Martin,+1 Lap,0,181
2025_canadian_gp,18,L. Norris,McLaren,DNF,0,144
2025_canadian_gp,19,L. Lawson,Red Bull,DNF,0,26
2025_canadian_gp,20,A. Albon,Williams,DNF,0,120
2025_austrian_gp,1,L. Norris,McLaren,1:23:47.693,25,144
